timestamp,gpu_id,name,utilization_gpu_pct,utilization_mem_pct,memory_used_mib,memory_total_mib,temperature_gpu_c,power_draw_w
2026/03/25 19:09:59.380,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,38,108.73
2026/03/25 19:09:59.385,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,58.00
2026/03/25 19:10:29.438,0,NVIDIA GeForce RTX 4090,65,46,2520,24564,43,125.17
2026/03/25 19:10:29.446,1,NVIDIA GeForce RTX 4080,10,9,14149,16376,39,58.34
2026/03/25 19:10:59.502,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,36,65.86
2026/03/25 19:10:59.508,1,NVIDIA GeForce RTX 4080,10,9,14149,16376,40,57.12
2026/03/25 19:11:29.553,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,38,166.41
2026/03/25 19:11:29.560,1,NVIDIA GeForce RTX 4080,81,55,14149,16376,54,273.64
2026/03/25 19:11:59.611,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,36,66.90
2026/03/25 19:11:59.615,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,40,60.55
2026/03/25 19:12:29.661,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,36,106.88
2026/03/25 19:12:29.665,1,NVIDIA GeForce RTX 4080,21,21,14149,16376,39,64.78
2026/03/25 19:12:59.709,0,NVIDIA GeForce RTX 4090,79,54,2520,24564,43,120.79
2026/03/25 19:12:59.716,1,NVIDIA GeForce RTX 4080,78,51,14149,16376,52,259.10
2026/03/25 19:13:29.769,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,36,66.56
2026/03/25 19:13:29.774,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,40,56.81
2026/03/25 19:13:59.816,0,NVIDIA GeForce RTX 4090,69,48,2520,24564,43,314.65
2026/03/25 19:13:59.823,1,NVIDIA GeForce RTX 4080,79,54,14149,16376,58,266.65
2026/03/25 19:14:29.868,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,36,104.09
2026/03/25 19:14:29.874,1,NVIDIA GeForce RTX 4080,79,52,14149,16376,54,266.63
2026/03/25 19:14:59.927,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,36,67.47
2026/03/25 19:14:59.933,1,NVIDIA GeForce RTX 4080,21,21,14149,16376,40,60.60
2026/03/25 19:15:29.983,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,76.80
2026/03/25 19:15:29.988,1,NVIDIA GeForce RTX 4080,84,56,14149,16376,56,276.61
2026/03/25 19:16:00.040,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,72.78
2026/03/25 19:16:00.045,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,40,57.22
2026/03/25 19:16:30.099,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,39,255.60
2026/03/25 19:16:30.109,1,NVIDIA GeForce RTX 4080,77,53,14149,16376,52,261.21
2026/03/25 19:17:00.158,0,NVIDIA GeForce RTX 4090,70,49,2520,24564,47,322.65
2026/03/25 19:17:00.166,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,40,60.15
2026/03/25 19:17:30.220,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,36,67.25
2026/03/25 19:17:30.226,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,60.08
2026/03/25 19:18:00.281,0,NVIDIA GeForce RTX 4090,73,51,2520,24564,44,204.24
2026/03/25 19:18:00.290,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,42,69.40
2026/03/25 19:18:30.343,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,39,122.48
2026/03/25 19:18:30.348,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,42,70.66
2026/03/25 19:19:00.395,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,67.13
2026/03/25 19:19:00.400,1,NVIDIA GeForce RTX 4080,80,53,14149,16376,57,270.88
