nohup: ignoring input
Device: cuda | Experiment: Extended Features (9) | Events: 200000
Epoch 121 | Time: 112.7s | LR: 2.00e-04 | T-Loss: 0.1104 | V-Loss: 0.1099 | T-P@R0.9: 0.4367 | V-P@R0.9: 0.4396
Epoch 122 | Time: 112.5s | LR: 2.00e-04 | T-Loss: 0.1102 | V-Loss: 0.1098 | T-P@R0.9: 0.4377 | V-P@R0.9: 0.4397
Epoch 123 | Time: 113.1s | LR: 2.00e-04 | T-Loss: 0.1101 | V-Loss: 0.1096 | T-P@R0.9: 0.4383 | V-P@R0.9: 0.4408
Epoch 124 | Time: 112.6s | LR: 2.00e-04 | T-Loss: 0.1103 | V-Loss: 0.1098 | T-P@R0.9: 0.4386 | V-P@R0.9: 0.4399
Epoch 125 | Time: 113.3s | LR: 2.00e-04 | T-Loss: 0.1097 | V-Loss: 0.1093 | T-P@R0.9: 0.4400 | V-P@R0.9: 0.4423
Epoch 126 | Time: 112.8s | LR: 2.00e-04 | T-Loss: 0.1101 | V-Loss: 0.1096 | T-P@R0.9: 0.4381 | V-P@R0.9: 0.4404
Epoch 127 | Time: 112.8s | LR: 2.00e-04 | T-Loss: 0.1099 | V-Loss: 0.1095 | T-P@R0.9: 0.4385 | V-P@R0.9: 0.4412
Epoch 128 | Time: 113.2s | LR: 2.00e-04 | T-Loss: 0.1098 | V-Loss: 0.1094 | T-P@R0.9: 0.4397 | V-P@R0.9: 0.4414
Epoch 129 | Time: 112.7s | LR: 2.00e-04 | T-Loss: 0.1098 | V-Loss: 0.1093 | T-P@R0.9: 0.4382 | V-P@R0.9: 0.4416
Epoch 130 | Time: 112.6s | LR: 2.00e-04 | T-Loss: 0.1097 | V-Loss: 0.1093 | T-P@R0.9: 0.4396 | V-P@R0.9: 0.4420
Epoch 131 | Time: 112.7s | LR: 2.00e-04 | T-Loss: 0.1101 | V-Loss: 0.1095 | T-P@R0.9: 0.4399 | V-P@R0.9: 0.4425
Epoch 132 | Time: 112.5s | LR: 2.00e-04 | T-Loss: 0.1096 | V-Loss: 0.1092 | T-P@R0.9: 0.4396 | V-P@R0.9: 0.4416
